id    ,title_deal                                                                                                                      ,title_desc                                                                                                                                                                                                                                                  ,title_city                                                                           ,deal_id,partner_id,gpslat           ,gpslong
63077 ,"Wellness pobyt s bohatým balíčkom"                                                                                             ,"Zimný víkendový relax v hoteli METROPOL*** s neobmedzeným vstupom do wellness centra s 5 saunami, vírivkou, malým ochladzovacím bazénom, masážnymi sprchami....to všetko spolu s raňajkami a množstvom zliav len za 99€."                                  ,"Spišská Nová Ves"                                                                   ,63077  ,652       ,48.946618        ,20.559211
65855 ,"Wellness pobyt s bohatým balíčkom"                                                                                             ,"Zimný víkendový relax v hoteli METROPOL*** s neobmedzeným vstupom do wellness centra s 5 saunami, vírivkou, malým ochladzovacím bazénom, masážnymi sprchami....to všetko spolu s raňajkami a množstvom zliav len za 99€."                                  ,"Spišská Nová Ves"                                                                   ,65855  ,652       ,48.946618        ,20.559211
77619 ,"Veľká noc v hoteli METROPOL***"                                                                                                ,"Predĺžený veľkonočný relax bez hektických príprav! Oddych v krásnom prostredí hotela METROPOL*** s neobmedzeným vstupom do wellness a rôznymi zľavami neďaleko Slovenského raja."                                                                          ,"Spišská Nová Ves"                                                                   ,77619  ,652       ,48.946618        ,20.559211
64955 ,"Originálna exotická havajská masáž LOMI LOMI"                                                                                  ,"60 minútová originálna masáž z havajských ostrovov. Kombinácia veľmi jemných a plynulých masážnych techník ju zaraďuje medzi najobľúbenejšie spôsoby odpočinku. Je tiež označovaná za perlu medzi všetkými ostatnými terapiami."                           ,Prešov                                                                               ,64955  ,655       ,48.996747        ,21.238139
84223 ,"Exotická havajská masáž LOMI LOMI alebo celotelová masáž čokoládou"                                                            ,"60 minútová originálna masáž z havajských ostrovov alebo luxusná masáž čokoládou. Masáž LOMI LOMI pomáha uvoľniť energetické bloky rovnako dobre, ako stuhnuté svaly a kakao v čokoláde obsahuje antioxidanty, ktoré pôsobia proti starnutiu a vráskam."   ,Prešov                                                                               ,84223  ,655       ,48.996747        ,21.238139
67875 ,"Detoxikácia organizmu"                                                                                                         ,"Detoxikácia tela od každodenných hriechov nezdravého životného štýlu najúčinnejšou bezbolestnou metódou."                                                                                                                                                  ,"Staré Mesto"                                                                        ,67875  ,662       ,48.149501        ,17.097652
68575 ,"Detoxikácia organizmu"                                                                                                         ,"Detoxikácia tela od každodenných hriechov nezdravého životného štýlu najúčinnejšou bezbolestnou metódou."                                                                                                                                                  ,"Staré Mesto"                                                                        ,68575  ,662       ,48.149501        ,17.097652
60263 ,"Permanentky do solária"                                                                                                        ,"Doprajte si slnečné lúče aj v sychravých dňoch. 50 a 100 minútová permanentka do Solária Diamond Beecker s Aqua cool systémom už od 6,50€."                                                                                                                ,Prešov                                                                               ,60263  ,670       ,48.993296        ,21.232305
64073 ,"Laserová liposukcia so zľavou 80%"                                                                                             ,"10x 40 minútová laserová liposukcia + 10x 20 minútová lymfatická masáž, vstupná a výstupná analýza tela, tabletky Zeronax a 10x 10 min vibromasážny stroj len za 59,99 eur"                                                                                ,Prešov                                                                               ,64073  ,670       ,48.993296        ,21.232305
68091 ,"Permanentky do solária"                                                                                                        ,"Doprajte si slnečné lúče aj v zimných dňoch. 50 a 100 minútová permanentka do Solária Diamond Beecker s Aqua cool systémom už od 6,50€."                                                                                                                   ,"Prešov - Duchnovičovo nám."                                                         ,68091  ,670       ,48.993296        ,21.232305
78997 ,"Permanentky do solária"                                                                                                        ,"Užite si teplé dni už teraz v soláriu v Prešove. Rýchle a efektívne opaľovanie do bronzova s permanentkami na 30, 50 alebo 100 minút."                                                                                                                     ,Prešov                                                                               ,78997  ,670       ,48.993296        ,21.232305
67359 ,"Kurz čínštiny, japončiny alebo kórejčiny"                                                                                      ,"Skúste niečo čo Vás urobí výnimočnými s obrovským potenciálom v budúcnosti. Začnite sa učiť čínsky, japonsky alebo kórejsky teraz s 50% zľavou a pokračujte ako člen AIC so zľavou 20%."                                                                   ,"Staré Mesto"                                                                        ,67359  ,692       ,48.142934        ,17.109333
60701 ,"Nabíjací set na mobil"                                                                                                         ,"Malý, praktický, jednoduchý a ideálny do auta na cesty. 3-dielny nabíjací set pre Apple iPhone alebo akýkoľvek smartphone s micro USB konektorom."                                                                                                         ,Slovensko                                                                            ,60701  ,704       ,48.331984        ,19.66596
70281 ,"Rukavice na dotykový telefón"                                                                                                  ,"Rukavice na ovládanie dotykových displejov len za 4,90 € vrátane poštovného. Umožňujú bezproblémové ovládanie všetkých typov telefónov a tabletov v chladnom počasí. Zľava až 65%."                                                                        ,Slovensko                                                                            ,70281  ,704       ,48.331984        ,19.66596
75173 ,"Jahodníky v kvetináči"                                                                                                         ,"Čerstvé a sladké vypestované u vás doma. Tri okrasné rastliny s výnimočnými tmavo ružovými kvetmi, ktoré rodia chutné a vysoko aromatické jahody."                                                                                                         ,Slovensko                                                                            ,75173  ,704       ,48.331984        ,19.66596
76035 ,"Štartovací set pre smartfóny 6v1"                                                                                              ,"Univerzálny set príslušenstva pre mobilné telefóny 6v1. Ochranná fólia, záložný zdroj, čistiaci set, autonabíjačka, dotykové pero, dátový kábel a poštovné v cene len za 9,99 €."                                                                          ,Slovensko                                                                            ,76035  ,704       ,48.331984        ,19.66596
76131 ,"Jahodníky v kvetináči"                                                                                                         ,"Čerstvé a sladké vypestované u vás doma. Tri okrasné rastliny s výnimočnými tmavo ružovými kvetmi, ktoré rodia chutné a vysoko aromatické jahody."                                                                                                         ,Slovensko                                                                            ,76131  ,704       ,48.331984        ,19.66596
87417 ,"Sluchátka KOSS clipper"                                                                                                        ,"Športové sluchátka KOSS clipper sú ideálne pre všetkých aktívnych poslucháčov, ktorí hľadajú skvelú kvalitu zvuku. Sú nielen ľahké, ale aj prispôsobiteľné a sú na výber v zelenej, modrej a striebornej farbe."                                           ,Slovensko                                                                            ,87417  ,704       ,48.331984        ,19.66596
70425 ,"PAYOT - luxusná dámska francúzska kozmetika"                                                                                   ,"Luxusná starostlivosť ako zo salónu u Vás doma. Denný krém, revitalizačná maska, očný gélový krém alebo upokojujúca emulzia na tvár len za 9,90 €. Krásna a zdravá pleť vďaka francúzskej značkovej kozmetike PAYOT."                                      ,Slovensko                                                                            ,70425  ,706       ,48.170311        ,17.128889
71269 ,"PAYOT - luxusná dámska francúzska kozmetika"                                                                                   ,"Luxusná starostlivosť ako zo salónu u Vás doma. Denný krém, revitalizačná maska, očný gélový krém alebo upokojujúca emulzia na tvár len za 9,90 €. Krásna a zdravá pleť vďaka francúzskej značkovej kozmetike PAYOT."                                      ,Slovensko                                                                            ,71269  ,706       ,48.170311        ,17.128889
88097 ,"Obnovujúca kúra s kolagénom pre perfektnú pleť"                                                                                ,"Vysoko účinné pleťové sérum s anti-aging účinkom zaisťuje prísun čistého kolagénu a elastínu hlboko do pokožky, sťahuje póry, redukuje drobné linky a vrásky a koriguje pružnosť pokožky. Výsledkom je jemnejšia, hladšia, pevnejšia a mladistvá pokožka." ,Slovensko                                                                            ,88097  ,706       ,48.170311        ,17.128889
88675 ,"Luxusné sérum ULTIMA II Perfect Skin čistého kolagénu a elastínu"                                                              ,"Vysoko účinné pleťové sérum s anti-aging účinkom zaisťuje prísun čistého kolagénu a elastínu hlboko do pokožky, sťahuje póry, redukuje drobné linky a vrásky a koriguje pružnosť pokožky. Výsledkom je jemnejšia, hladšia, pevnejšia a mladistvá pokožka." ,"celé Slovensko"                                                                     ,88675  ,706       ,48.170311        ,17.128889
